category;task;num;category_num
Perusopinnot 1p - Tapahtumat;Kuuntele linkin esittely;1;1
Perusopinnot 1p - Tapahtumat;Osallistu kaupunkikierrokselle;2;1
Perusopinnot 1p - Tapahtumat;Osallistu Linkin  ainejärjestötilakierrokselle;3;1
Perusopinnot 1p - Tapahtumat;Osallistu yliopiston avajaismessuille;4;1
Perusopinnot 1p - Tapahtumat;Osallistu KampusPiknikille;5;1
Perusopinnot 1p - Tapahtumat;Kuuntele BEHMin konsertti;6;1
Perusopinnot 1p - Tapahtumat;Kuuntele Semmareita;7;1
Perusopinnot 1p - Tapahtumat;Osallistu kampuskierrokselle;8;1
Perusopinnot 1p - Tapahtumat;Osallistu Linkin fuksisitseille;9;1
Perusopinnot 1p - Tapahtumat;Osallistu Linkin fuksiliikuntaan;10;1
Perusopinnot 1p - Tapahtumat;Osallistu Linkin fuksiexcuun;11;1
Perusopinnot 1p - Tapahtumat;Osallistu Linkin fuksilautapeliiltaan;12;1
Perusopinnot 1p - Tapahtumat;Osallistu Linkin fuksisaunaan;13;1
Perusopinnot 1p - Tapahtumat;Osallistu Linkin fuksiaisiin;14;1
Perusopinnot 1p - Haalarit;Liity Linkki Jyväskylä ry:n jäseneksi;1;2
Perusopinnot 1p - Haalarit;Tilaa Linkin haalarit;2;2
Perusopinnot 1p - Haalarit;Osta Linkin haalarimerkki;3;2
Perusopinnot 1p - Haalarit;Ompele haalarimerkki;4;2
Perusopinnot 1p - Haalarit;Tuunaa haalaria muuten kuin haalarimerkillä;5;2
Perusopinnot 1p - Haalarit;Mene luennolle haalareissa;6;2
Perusopinnot 1p - Haalarit;Mene tenttiin haalareissa;7;2
Perusopinnot 1p - Sosiaalinen media;Linkitä yliopiston sähköposti puhelimeesi;1;2
Perusopinnot 1p - Sosiaalinen media;Liity Linkin sähköpostilistalle;2;2
Perusopinnot 1p - Sosiaalinen media;Seuraa Linkkiä Facebookissa @linkkijkl;3;2
Perusopinnot 1p - Sosiaalinen media;Seuraa Linkkiä Twitterissä @linkkijkl;4;2
Perusopinnot 1p - Sosiaalinen media;Seuraa Linkkiä Instagramissa @linkkijkl;5;2
Perusopinnot 1p - Sosiaalinen media;Liity Linkin Telegram ryhmään;6;2
Perusopinnot 1p - Sosiaalinen media;Tilaa Linkin Youtubekanava: Linkki Jyväskylä ry;7;2
Perusopinnot 1p - Sosiaalinen media;Lisää Linkki Snapchatissa @linkkijkl;8;2
Perusopinnot 1p - Sosiaalinen media;Liity Linkin LinkedIn ryhmään Linkki Jyväskylä ry;9;2
Perusopinnot 1p - Sosiaalinen media;Seuraa JYY:tä jossain sosiaalisessa mediassa;10;2
Perusopinnot 1p - Sosiaalinen media;Jaa Instagramissa haalarikuva hashtagilla #linkkijkl;11;2
Perusopinnot 1p - Sosiaalinen media;Kommentoi Instagramissa Linkin kuvaa/videota;12;2
Perusopinnot 1p - Sosiaalinen media;Tykkää jostain Linkin twiitistä;13;2
Perusopinnot 1p - Sosiaalinen media;Tykkää videosta Linkin Youtubekanavalla;14;2
Perusopinnot 1p - Sosiaalinen media;Merkitse osallistuvasi Linkin tapahtumaan facebookissa ja myös osallistu kyseiseen tapahtumaan;15;2
Perusopinnot 1p - Sosiaalinen media;Lähetä “/fuksivirhe” viesti Linkin Telegrammiin;16;2
Perusopinnot 1p - Kattila;Selvitä miksi Kattila on Kattila;1;3
Perusopinnot 1p - Kattila;Keitä kahvia Kattilassa;2;3
Perusopinnot 1p - Kattila;Huomaa, että kahvimitta on tuplamitta;3;3
Perusopinnot 1p - Kattila;Tuo oma kahvikuppisi Kattilaan;4;3
Perusopinnot 1p - Kattila;Juo kahvia Kattilassa;5;3
Perusopinnot 1p - Kattila;Pelaa änäriä Kattilassa;6;3
Perusopinnot 1p - Kattila;Voita hallituslainen änärissä;7;3
Perusopinnot 1p - Kattila;...ja laula sen jälkeen Den Glider In;8;3
Perusopinnot 1p - Kattila;Katso elokuva Kattilassa;9;3
Perusopinnot 1p - Buffalo;Kuule Buffalon säännöt;1;4
Perusopinnot 1p - Buffalo;Riko Buffalon sääntöjä;2;4
Perusopinnot 1p - Opintojen suunnittelu;Tee eHOPS;1;5
Perusopinnot 1p - Opintojen suunnittelu;Suorita ITKY100;2;5
Perusopinnot 1p - Opintojen suunnittelu;Suorita ITKP101 ja ITKP1011;3;5
Perusopinnot 1p - Opintojen suunnittelu;Suorita TIEP114 alkuperäisen aikataulun mukaan;4;5
Perusopinnot 1p - Opintojen suunnittelu;Hajoa SISUun;5;5
Perusopinnot 1p - Opintojen suoritus;Kysy apua demoihin Kattilassa;1;6
Perusopinnot 1p - Opintojen suoritus;Saa apua demoihin Kattilassa;2;6
Perusopinnot 1p - Opintojen suoritus;Etsi netistä vastaus ohjelmointikurssin tehtävään;3;6
Perusopinnot 1p - Opintojen suoritus;Tee jokin gurutehtävä oikein Ohjelmointi 1 kurssilla;4;6
